         3145 function calls (3073 primitive calls) in 0.023 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      326    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      214    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
  170/153    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      164    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      107    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      100    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       58    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       54    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       45    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       43    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       41    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       41    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       36    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       34    0.000    0.000    0.000    0.000 argparse.py:1299(register)
       31    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
    27/25    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       25    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       25    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       25    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
       25    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       20    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
     19/6    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
       18    0.002    0.000    0.002    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     17/4    0.000    0.000    0.000    0.000 sre_compile.py:71(_compile)
       17    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       17    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       16    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       15    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
       15    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       15    0.000    0.000    0.000    0.000 os.py:752(encode)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       14    0.000    0.000    0.003    0.000 hashlib.py:116(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
       13    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       13    0.001    0.000    0.001    0.000 {built-in method io.open}
       13    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
       13    0.000    0.000    0.000    0.000 posixpath.py:64(isabs)
       13    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       13    0.000    0.000    0.000    0.000 posixpath.py:376(abspath)
       13    0.001    0.000    0.007    0.001 get_files.py:6(get_file_hash)
       13    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       12    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       12    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       10    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       10    0.000    0.000    0.001    0.000 re.py:271(_compile)
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      9/4    0.000    0.000    0.002    0.001 os.py:278(walk)
        9    0.000    0.000    0.001    0.000 re.py:232(compile)
