CALL                                        COUNT
__mac_syscall                                   1
exit                                            1
getgid                                          1
getrlimit                                       1
munmap                                          1
posix_spawn                                     1
shared_region_check_np                          1
thread_selfid                                   1
access                                          2
bsdthread_register                              2
csops                                           2
fsgetpath                                       2
issetugid                                       2
sigaltstack                                     2
sysctl                                          2
fcntl_nocancel                                  3
getpid                                          3
getuid                                          3
proc_info                                       3
sysctlbyname                                    3
write                                           3
csops_audittoken                                4
getattrlist                                     4
gettid                                          4
csrctl                                          5
getegid                                         5
getentropy                                      5
readlink                                        6
geteuid                                         7
pread                                           7
fstatfs64                                      12
getdirentries64                                12
madvise                                        12
fcntl                                          18
lstat64                                        18
read_nocancel                                  18
close_nocancel                                 21
open_nocancel                                  23
mprotect                                       27
sigaction                                      33
ioctl                                          35
mmap                                           38
close                                          50
open                                           50
lseek                                          63
read                                           82
fstat64                                       101
stat64                                        252
