PID/THRD         RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
files were found:
/Users/sergeyantonov/Desktop/Epam/EpamPython2019/11-programming-and-debugging/hw/hw2/file1.txt

20699/0xb0165:      2381      96     51 open("/dev/dtracehelper\0", 0x2, 0xFFFFFFFFE46A8E80)		 = 3 0
20699/0xb0165:      3295    1879    911 ioctl(0x3, 0x80086804, 0x7FFEE46A8D90)		 = 0 0
20699/0xb0165:      3305      48      7 close(0x3)		 = 0 0
20699/0xb0165:      3502      46      3 mprotect(0x10B6E5000, 0x3000, 0x1)		 = 0 0
20699/0xb0165:      3505       4      1 mprotect(0x10B558000, 0x1000, 0x1)		 = 0 0
20699/0xb0165:      3563      10      7 access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 2
20699/0xb0165:      3598      12      7 bsdthread_register(0x7FFF7006682C, 0x7FFF70066818, 0x2000)		 = 1073742047 0
20699/0xb0165:      3637      14      7 sysctlbyname(kern.bootargs, 0xD, 0x7FFEE46A7CC0, 0x7FFEE46A7CB0, 0x0)		 = 0 0
20699/0xb0165:      3679       4      0 issetugid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb0165:      3691       5      2 ioctl(0x2, 0x4004667A, 0x7FFEE46A8004)		 = 0 0
20699/0xb0165:      3700       4      1 mprotect(0x10B7C3000, 0x1000, 0x0)		 = 0 0
20699/0xb0165:      3701       3      0 mprotect(0x10B7C8000, 0x1000, 0x0)		 = 0 0
20699/0xb0165:      3709       3      0 mprotect(0x10B7C9000, 0x1000, 0x0)		 = 0 0
20699/0xb0165:      3710       2      0 mprotect(0x10B7CE000, 0x1000, 0x0)		 = 0 0
20699/0xb0165:      3720       4      1 mprotect(0x10B55E000, 0x90, 0x1)		 = 0 0
20699/0xb0165:      3726       3      0 mprotect(0x10B560000, 0x1000, 0x1)		 = 0 0
20699/0xb0165:      3729       5      2 mprotect(0x10B55E000, 0x90, 0x3)		 = 0 0
20699/0xb0165:      3742       4      1 mprotect(0x10B55E000, 0x90, 0x1)		 = 0 0
20699/0xb0165:      3829       6      2 getentropy(0x7FFEE46A7420, 0x20, 0x0)		 = 0 0
20699/0xb0165:      3830       3      0 getentropy(0x7FFEE46A7470, 0x40, 0x0)		 = 0 0
20699/0xb0165:      3988       3      0 getpid(0x0, 0x0, 0x0)		 = 20699 0
20699/0xb0165:      3996       7      3 stat64("/AppleInternal\0", 0x7FFEE46A8130, 0x0)		 = -1 2
20699/0xb0165:      4021       6      1 csops_audittoken(0x50DB, 0x7, 0x7FFEE46A7C80)		 = -1 22
20699/0xb0165:      4027       8      4 proc_info(0x2, 0x50DB, 0xD)		 = 64 0
20699/0xb0165:      4046       5      0 csops_audittoken(0x50DB, 0x7, 0x7FFEE46A7500)		 = -1 22
20699/0xb0165:      4122       3      0 geteuid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb0165:      4123       3      0 getuid(0x0, 0x0, 0x0)		 = 0 0
dtrace: error on enabled probe ID 2210 (ID 563: syscall::sysctl:return): invalid kernel access in action #11 at DIF offset 28
20699/0xb0165:      4167       3      0 gettid(0x7FFEE46A6E10, 0x7FFEE46A6E14, 0x0)		 = -1 3
20699/0xb0165:      4168       2      0 geteuid(0x0, 0x0, 0x0)		 = 0 0
20699/0xb0165:      4169       3      0 getegid(0x0, 0x0, 0x0)		 = 0 0
